MARCA,MODELO,SISTEMA,VERS_SISTEMA
Apple,iPhone 13,iOS,18.5
Apple,iPhone 13,iOS,18.3.2002
Apple,iPhone 13,iOS,17.4
Apple,iPhone 13,iOS,16.6.2001
Apple,iPhone 13,iOS,17.2
Apple,iPhone 13,iOS,18.4.2001
Apple,iPhone 13,iOS,17.7.2002
Apple,iPhone 13,iOS,16.3
Apple,iPhone 13,iOS,18.4
Apple,iPhone 13,iOS,16.1.2002
Apple,iPhone 13,iOS,17.3
Apple,iPhone 13,iOS,16.3.2001
Apple,iPhone 13,iOS,16.7.2002
Apple,iPhone 13,iOS,16.0.3
Apple,iPhone 13,iOS,17.7
Apple,iPhone 13,iOS,16.6
Apple,iPhone 13,iOS,16.5
Apple,iPhone 13,iOS,17
Apple,iPhone 13,iOS,17.4.2001
Apple,iPhone 13,iOS,17.0.1
Apple,iPhone 13,iOS,17.1.2002
Apple,iPhone 13,iOS,17.2.2001
Apple,iPhone 13,iOS,18.2.2001
Apple,iPhone 13,iOS,16.7.2001
Apple,iPhone 13,iOS,17.0.3
Apple,iPhone 13,iOS,16.1.2001
Apple,iPhone 13,iOS,18.3.2001
Apple,iPhone 13,iOS,16
Apple,iPhone 13,iOS,15.1.2001
Apple,iPhone 13,iOS,18.1.2001
Apple,iPhone 13 Pro,iOS,18.1
Apple,iPhone 13 Pro,iOS,17.7.2001
Apple,iPhone 13 Pro,iOS,17.3.2001
Apple,iPhone 13 Pro,iOS,16.6.2001
Apple,iPhone 13 Pro,iOS,18.2.2001
Apple,iPhone 13 Pro,iOS,17.7.2002
Apple,iPhone 13 Pro,iOS,17.4.2001
Apple,iPhone 13 Pro,iOS,17.1
Apple,iPhone 13 Pro,iOS,16.0.2
Apple,iPhone 13 Pro,iOS,17.4
Apple,iPhone 13 Pro,iOS,16.1
Apple,iPhone 13 Pro,iOS,16.1.2002
Apple,iPhone 13 Pro,iOS,17.6
Apple,iPhone 13 Pro,iOS,18.3.2002
Apple,iPhone 13 Pro,iOS,17.0.1
Apple,iPhone 13 Pro,iOS,17.2.2001
Apple,iPhone 13 Pro,iOS,16.7.2002
Apple,iPhone 13 Pro,iOS,16
Apple,iPhone 13 Pro,iOS,17.0.2
Apple,iPhone 13 Pro,iOS,17.5.2001
Apple,iPhone 13 Pro,iOS,16.1.2001
Apple,iPhone 13 Pro,iOS,15.5
Apple,iPhone 13 Pro,iOS,16.2
Apple,iPhone 13 Pro,iOS,17.1.2002
Apple,iPhone 13 Pro,iOS,16.3.2001
Apple,iPhone 13 Pro,iOS,18.5
Apple,iPhone 13 Pro,iOS,18.0.1
Apple,iPhone 13 Pro,iOS,18.4
Apple,iPhone 13 Pro,iOS,18.3.2001
Apple,iPhone 13 Pro,iOS,17.7
Apple,iPhone 13 Pro,iOS,17.3
Apple,iPhone 13 Pro,iOS,18
Apple,iPhone 13 Pro,iOS,18.1.2001
Apple,iPhone 13 Pro,iOS,16.6
Apple,iPhone 13 Pro,iOS,17.5
Apple,iPhone 13 Pro,iOS,17.1.2001
Apple,iPhone 13 Pro,iOS,18.3
Apple,iPhone 13 Pro,iOS,18.2
Apple,iPhone 13 Pro,iOS,18.4.2001
Apple,iPhone 13 Pro,iOS,17.6.2001
Apple,iPhone 13 Pro Max,iOS,15.5
Apple,iPhone 13 Pro Max,iOS,18.2.2001
Apple,iPhone 13 Pro Max,iOS,17.0.3
Apple,iPhone 13 Pro Max,iOS,16
Apple,iPhone 13 Pro Max,iOS,16.6
Apple,iPhone 13 Pro Max,iOS,17.6
Apple,iPhone 13 Pro Max,iOS,17.1.2002
Apple,iPhone 13 Pro Max,iOS,17.2
Apple,iPhone 13 Pro Max,iOS,18.3
Apple,iPhone 13 Pro Max,iOS,17.1
Apple,iPhone 13 Pro Max,iOS,18.0.1
Apple,iPhone 13 Pro Max,iOS,16.7.2001
Apple,iPhone 13 Pro Max,iOS,17.4
Apple,iPhone 13 Pro Max,iOS,18
Apple,iPhone 13 Pro Max,iOS,17.7.2001
Apple,iPhone 13 Pro Max,iOS,16.3.2001
Apple,iPhone 13 Pro Max,iOS,17.5
Apple,iPhone 13 Pro Max,iOS,17.7
Apple,iPhone 13 Pro Max,iOS,18.1.2001
Apple,iPhone 13 Pro Max,iOS,15.6.2001
Apple,iPhone 13 Pro Max,iOS,17.4.2001
Apple,iPhone 13 Pro Max,iOS,16.6.2001
Apple,iPhone 13 Pro Max,iOS,18.3.2002
Apple,iPhone 13 Pro Max,iOS,18.4
Apple,iPhone 13 Pro Max,iOS,16.1.2002
Apple,iPhone 13 Pro Max,iOS,17.2.2001
Apple,iPhone 13 Pro Max,iOS,16.1.2001
Apple,iPhone 13 Pro Max,iOS,17.6.2001
Apple,iPhone 13 Pro Max,iOS,18.1
Apple,iPhone 13 Pro Max,iOS,17.3.2001
Apple,iPhone 13 Pro Max,iOS,16.3
Apple,iPhone 13 Pro Max,iOS,18.2
Apple,iPhone 13 Pro Max,iOS,16.2
Apple,iPhone 13 Pro Max,iOS,17.5.2001
Apple,iPhone 13 Pro Max,iOS,18.4.2001
Apple,iPhone 13 Pro Max,iOS,16.1
Apple,iPhone 13 Pro Max,iOS,17.7.2002
Apple,iPhone 13 Pro Max,iOS,18.3.2001
Apple,iPhone 13 Pro Max,iOS,16.0.3
Apple,iPhone 13 mini,iOS,16.5.2001
Apple,iPhone 13 mini,iOS,17.5
Apple,iPhone 13 mini,iOS,16.1.2002
Apple,iPhone 13 mini,iOS,17.4.2001
Apple,iPhone 13 mini,iOS,18.3.2002
Apple,iPhone 13 mini,iOS,18.2
Apple,iPhone 13 mini,iOS,18.3
Apple,iPhone 13 mini,iOS,16.2
Apple,iPhone 13 mini,iOS,16.6
Apple,iPhone 13 mini,iOS,18.3.2001
Apple,iPhone 13 mini,iOS,16.3
Apple,iPhone 13 mini,iOS,17.5.2001
Apple,iPhone 13 mini,iOS,17.4
Apple,iPhone 13 mini,iOS,16.6.2001
Apple,iPhone 13 mini,iOS,16.3.2001
Apple,iPhone 13 mini,iOS,17.3.2001
Apple,iPhone 13 mini,iOS,18.0.1
Apple,iPhone 13 mini,iOS,18.2.2001
Apple,iPhone 13 mini,iOS,16.1.2001
Apple,iPhone 13 mini,iOS,18.1.2001
Apple,iPhone 13 mini,iOS,18
Apple,iPhone 13 mini,iOS,18.1
Apple,iPhone 13 mini,iOS,17.6.2001
Apple,iPhone 13 mini,iOS,18.4.2001
Apple,iPhone 13 mini,iOS,17.7
Apple,iPhone 13 mini,iOS,17.7.2001
Apple,iPhone 13 mini,iOS,17.2.2001
Apple,iPhone 13 mini,iOS,16.1
Apple,iPhone 13 mini,iOS,18.4
Apple,iPhone 13 mini,iOS,17.6
Apple,iPhone 13 mini,iOS,16.0.3
Apple,iPhone 13 mini,iOS,16
Apple,iPhone 13 mini,iOS,16.0.2
Apple,iPhone 14,iOS,18.1.2001
Apple,iPhone 14,iOS,18.4.2001
Apple,iPhone 14,iOS,17.2.2001
Apple,iPhone 14,iOS,17.1.2002
Apple,iPhone 14,iOS,17.4.2001
